name,code,ExportationsQuantite,ExportationsValeur,ImportationsQuantite,ImportationsValeur
Benin,01,65002,27800,1017385,385639
Burkina Faso,02,20264,4333,1817007,615004
Cape Verde,04,2489,904,424118,115205
Cote d'Ivoire,03,508713,237650,7916213,2415904
Gambia,06,4668,3031,860346,220883
Ghana,05,246088,89199,7061643,2299166
Guinea,07,140304,41126,2852003,840756
Guinea-Bissau,08,0,0,184647,63757
Liberia,15,50665,12576,891795,253735
Mali,09,33862,13913,2748966,858115
Niger,10,6590,2796,701514,263381
Nigeria,11,37526,10227,63908824,16185123
Senegal,12,143541,67721,7776847,2429700
Sierra Leone,13,1002,295,735062,212522
Togo,14,281046,85883,1680274,471201
