name,code,ExportationsQuantite,ExportationsValeur,ImportationsQuantite,ImportationsValeur
Benin,01,80207,22729,15811,8810
Burkina Faso,02,478232,71137,87819,11486
Cape Verde,04,0,0,447938,110493
Cote d'Ivoire,03,222676,25740,218133,72293
Gambia,06,160,18,1131,271
Ghana,05,73716,17058,676731,177558
Guinea,07,0,0,20150,11445
Guinea-Bissau,08,0,0,13082,4606
Liberia,15,0,0,454154,74514
Mali,09,31888,33557,69955,15049
Niger,10,2581,615,756143,109991
Nigeria,11,91620,6653,1190103,229451
Senegal,12,15877,9703,2220591,513522
Sierra Leone,13,0,0,39283,26325
Togo,14,333690,13828,20562,4706
