name,code,ExportationsQuantite,ExportationsValeur,ImportationsQuantite,ImportationsValeur
Benin,01,0,0,15088,3671
Burkina Faso,02,53889,5514,28874,5617
Cape Verde,04,0,0,0,0
Cote d'Ivoire,03,972,290,10178,948
Gambia,06,0,0,842,227
Ghana,05,485,277,14477,3361
Guinea,07,0,0,0,0
Guinea-Bissau,08,0,0,0,0
Liberia,15,0,0,0,0
Mali,09,88037,13765,86920,5728
Niger,10,579,61,126251,21453
Nigeria,11,80173,6497,2551,1603
Senegal,12,1115,999,22868,9143
Sierra Leone,13,0,0,0,0
Togo,14,518,47,0,0
