name,code,ExportationsQuantite,ExportationsValeur,ImportationsQuantite,ImportationsValeur
Benin,01,902076,178568,18855879,9088735
Burkina Faso,02,16510,13069,6498458,1664339
Cape Verde,04,1112,1104,783384,389367
Cote d'Ivoire,03,449087,174407,21741814,9730007
Gambia,06,6966,2540,1378823,681686
Ghana,05,13662,3019,10303257,4600054
Guinea,07,3541,1254,8687018,3205395
Guinea-Bissau,08,0,0,1573144,595465
Liberia,15,13008,4580,4626490,1812414
Mali,09,3413,1212,3676387,1118591
Niger,10,812078,450051,6226911,2481517
Nigeria,11,73428,17815,23163607,11446431
Senegal,12,1649493,613778,20667983,7350368
Sierra Leone,13,9,9,4267995,1723963
Togo,14,51439,14049,2277946,304312
