OBJECTID,admin2Name,chefs,cas,guerit,deces
1,BALE,Boromo,6,0,0 
23,BAM,Kongoussi,2,0,0 
45,BANWA,Solenzo,0,0,0 
21,BAZEGA,Kombissiri,0,0,0 
7,BOUGOURIBA,Diebougou,0,0,0 
34,BOULGOU,Tenkodogo,0,0,0 
4,BOUKIEMDE,Koudougou,0,0,0 
28,COMOE,Banfora,1,0,0 
15,GANZOURGOU,Zorgho,2,0,0 
10,GNAGNA,Bogande,0,0,0 
11,GOURMA,Fada,0,0,0 
8,HOUET,Bobo-Dioulasso,13,0,0 
31,IOBA,Dano,0,0,0 
14,KADIOGO,Ouagadougou,147,10,4 
26,KENEDOUGOU,Orodara,0,0,0 
12,KOMONDJARI,Gayeri,0,0,0 
36,KOMPIENGA,Pama,0,0,0 
44,KOSSI,Nouna,0,0,0 
35,KOULPELOGO,Ouargaye,0,0,0 
13,KOURITENGA,Koupela,0,0,0 
16,KOURWEOGO,Bousse,0,0,0 
27,LERABA,Sindou,3,0,0 
18,LOROUM,Titao,0,0,0 
2,MOUHOUN,Dedougou,3,0,0 
33,NAHOURI,Pe,0,0,0 
24,NAMENTENGA,Boulsa,0,0,0 
3,NAYALA,Toma,0,0,0 
29,NOUMBIEL,Batie,0,0,0 
17,OUBRITENGA,Ziniare,0,0,0 
40,OUDALAN,Gorom-Gorom,0,0,0 
19,PASSORE,Yako,0,0,0 
30,PONI,Gaoua,0,0,0 
5,SANGUIE,Reo,0,0,0 
25,SANMATENGA,Kaya,0,0,0 
39,SENO,Dori,0,0,0 
32,SISSILI,Leo,0,0,0 
41,SOUM,Djibo,0,0,0 
43,SOUROU,Tougan,0,0,0 
37,TAPOA,Diapaga,0,0,0 
9,TUY,Hounde,2,0,0 
38,YAGHA,Sebba,0,0,0 
42,YATENGA,Ouahigouya,0,0,0 
6,ZIRO,Sapouy,0,0,0 
20,ZONDOMA,Gourcy,0,0,0 
22,ZOUNDWEOGO,Manga,1,0,0
